Sp Code,Genus,Species,subspecies/alternate,Common Name,Family,Duration,Community
desc pinn,Descurainia,pinnata,,Western tansymustard,Brassicaceae,Annual,Winter Annuals
desc sp,Descurainia,sp.,,Unknown,Brassicaceae,Annual,Winter Annuals
dich pulc,Dichlostemma,pulchellum,,Blue Dicks,Liliaceae,Perennial,Perennials
dith wisl,Dimorphocarpa (Dithyrea),wislizeni,,Spectaclepod,Brassicaceae,Annual,Summer and Winter Annuals
dyss pent,Dyssodia,pentachaeta,,Fiveneedle pricklyleaf,Asteraceae,Perennial,Perennials
enne desv,Enneapogon,desvauxii,,Nineawn pappusgrass,Poaceae,Perennial,Perennials
ephe sp,Ephedra,sp.,,Unknown jointfir,Ephedraceae,Perennial,Perennials
ephe torr,Ephedra,torreyana,,Torrey's jointfir,Ephedraceae,Perennial,Perennials
ephe trif,Ephedra,trifurca,,Longleaf jointfir,Ephedraceae,Perennial,Perennials
erag arid,Eragrostis,pectinaceae,(arida),Desert lovegrass,Poaceae,Annual,Summer Annuals
erag cili,Eragrostis,cilianensis,,Stinkgrass,Poaceae,Annual,Summer Annuals
erag inte,Eragrostis,intermedia,,Plains Lovegrass,Poaceae,Perennial,Perennials
erag lehm,Eragrostis,lehmanniana,,Lehmann’s lovegrass,Poaceae,Perennial,Perennials
erag sp,Eragrostis,sp.,,Unknown,Poaceae,Perennial,Perennials
eria diff,Eriastrum,diffusum,,Miniature woollystar,Polemoniaceae,Annual,Winter Annuals
erig conc,Erigeron,concinnus,,Navajo Fleabane,Asteraceae,Perennial,Perennials
erig dive,Erigeron,divergens,,Spreading fleabane,Asteraceae,Annual,Summer and Winter Annuals
erig sp,Erigeron,sp.,,Unknown ,Asteraceae,Unknown,Unknowns
erio aber,Eriogonum,abertianum,,Abert's buckwheat,Polygonaceae,Annual,Summer and Winter Annuals
erio lemm,Eriochloa,lemmonii,,Canyon cupgrass,Poaceae,Annual,Summer and Winter Annuals
erio poly,Eriogonum,polycladon,,Sorrel buckwheat,Polygonaceae,Annual,Summer Annuals
erod cicu,Erodium,cicutarium,,Redstem stork's bill,Geraniaceae,Annual,Summer and Winter Annuals
erod texa,Erodium,texanum,,Texas stork's bill,Geraniaceae,Annual,Winter Annuals
esch mexi,Eschscholzia,californica,mexicana,California poppy,Papaveraceae,Annual,Winter Annuals
euph exst,Euphorbia,exstipulata,,Squareseed spurge,Euphorbiaceae,Annual,Summer Annuals
euph fend,Euphorbia,fendleri,,Fendler's sandmat,Euphorbiaceae,Annual,Summer Annuals
euph micr,Euphorbia,micromera,,Sonoran sandmat,Euphorbiaceae,Annual,Summer Annuals
euph serp,Euphorbia,serpyllifolia,,Thymeleaf sandmat,Euphorbiaceae,Annual,Summer Annuals
euph serr,Euphorbia,serrula,,Sawtooth sandmat,Euphorbiaceae,Annual,Summer Annuals
euro lana,Eurotia,lanata,,Winterfat,Chenopodiaceae,Perennial,Perennials
flou cern,Flourensia,cernua,,Tarbush,Asteraceae,Perennial,Perennials
gili sinu,Gilia,sinuata,,Rosy gilia,Polemoniaceae,Annual,Winter Annuals
guti saro,Gutierrezia,sarothrae,,Snakeweed,Asteraceae,Perennial,Perennials
hapl grac,Machaeranthera (Haplopappus),gracilis,,Slender Goldenweed,Asteraceae,Annual,Summer and Winter Annuals
hapl spin,Happlopappus,spinulosus,,Lacy tansyaster,Asteraceae,Perennial,Perennials
hapl tenu,Isocoma (Haplopappus),tenuisectus,,Burroweed,Asteraceae,Perennial,Perennials
hete suba,Heterotheca,subaxillaris,,Camphorweed,Asteraceae,Annual,Winter and Summer Annuals
hila muti,Hilaria,mutica,,Tobosa grass,Poaceae,Perennial,Perennials
hoff dens,Hoffmanseggia,densiflora,,Hog potato,Fabaceae,Perennial,Perennials
ipom cost,Ipomoea,costellata,,Crestrib Morning Glory,Convolvulaceae,Annual,Summer Annuals
kall cali,Kallstroemia,californica,,California Caltrop,Zygophyllaceae,Annual,Summer Annuals
kall gran,Kallstroemia,grandiflora,,Arizona Poppy,Zygophyllaceae,Annual,Summer Annuals
kall hirs,Kallstroemia,hirsutissima,,Hairy Caltrop,Zygophyllaceae,Annual,Summer Annuals
kall sp,Kallstroemia,sp.,,Unknown,Zygophyllaceae,Annual,Summer Annuals
laen coul,Laennecia,coulteri ,,Coulter's Horseweed,Asteraceae,Annual,Winter and Summer Annuals
lapp redo,Lappula,occidentalis,(redowskii),Flatspine stickseed,Boraginaceae,Annual,Winter Annuals
lepi lasi,Lepidium,lasiocarpum,,Shaggyfruit pepperweed,Brassicaceae,Annual,Winter Annuals
lepi sp,Lepidium,sp.,,Unknown,Brassicaceae,Annual,Winter Annuals
lesq gord,Lesquerella,gordoni,,Bladderpod,Brassicaceae,Annual,Winter Annuals
lina bige,Linanthus,bigelovii,,Bigelow's linanthus,Polemoniaceae,Annual,Winter Annuals
lina sp,Linanthus,sp.,,Unknown,Polemoniaceae,Annual,Winter Annuals
lina texa,Nuttallanthus (Linaria),texanus,texana,Texas toadflax,Scrophulariaceae,Annual,Winter Annuals
lupi conc,Lupinus,concinnus,,Bajada lupine,Fabaceae,Annual,Winter Annuals
lupi sp,Lupinus,sp.,,Unknown,Fabaceae,Annual,Winter Annuals
lupi sp2,Lupinus,sp. 2,distinct from lupi sp,Unknown,Fabaceae,Annual,Winter Annuals
lyci torr,Lycium,torreyi,,Torrey wolfberry,Solanaceae,Perennial,Perennials
lycu phle,Lycurus,phleoides,,Wolf tail,Poaceae,Perennial,Perennials
mach tanr,Machaeranthera,tanacetifoloia,,Tansyleaf Tansyaster,Asteraceae,Annual,Summer Annuals
mala fend,Malacothrix,fendleri,,Fendler's desert dandelion,Asteraceae,Annual,Winter Annuals
mala sp,Malacothrix,sp.,,Unknown dandelion,Asteraceae,Annual,Winter Annuals
micr lene,Uropappus (Microseris),lindleyi,lenearifolia,Lindley's silverpuffs,Asteraceae,Annual,Winter Annuals
moll cerv,Mollugo,cerviana,,Threadstem Carpetweed,Molluginaceae,Annual,Summer Annuals
moll sp,Mollugo,sp.,,Unknown,Molluginaceae,Annual,Summer Annuals
moll vert,Mollugo,verticillata,,Green Carpetweed,Molluginaceae,Annual,Summer Annuals
muhl port,Muhlenbergia,porter,,Bush Muhly,Poaceae,Perennial,Perennials
nama hisp,Nama,hispidum,,Bristly nama,Hydrophyllaceae,Annual,Winter Annuals
oeno prim,Oenothera,primiveris,,Desert evening primrose,Onagraceae,Annual,Winter Annuals
oeno sp,Oenothera,sp.,,Unknown,Onagraceae,Annual,Winter Annuals
opun sp,Opuntia,sp.,,Prickly pear,Cactaceae,Perennial,Perennials
pani ariz,Urochloa (Panicum),arizonicum,,Arizona Signalgrass,Poaceae,Annual,Summer Annuals
pani hirt,Panicum,hirticaule,,Mexican panicgrass,Poaceae,Annual,Summer and Winter Annuals
pani mili,Panicum,miliaceum,,Broomcorn Millet,Poaceae,Annual,Summer Annuals
pani sp,Panicum,sp.,,Unknown,Poaceae,Annual,Summer Annuals
part inca,Parthenium,incanum,,Mariola,Asteraceae,Perennial,Perennials
pect papp,Pectis,papposa,,Manybristle Chinchweed,Asteraceae,Annual,Summer Annuals
pect recu,Pectocarya,recurvate,,Curvenut combseed,Boraginaceae,Annual,Winter Annuals
pect sp,Pectocarya,sp.,,Combseed,Boraginaceae,Annual,Winter Annuals
pere forb,Unknown,perenial forb,forb,Unknown,Unknowns,Perennial,Perennials
pere gras,Unknown,perenial grass,grass,Unknown,Poaceae,Perennial,Perennials
pere nana,Perezia,nana,,Dwarf desert holly,Asteraceae,Perennial,Perennials
phac ariz,Phacelia,arizonica,,Arizona scorpionweed,Hydrophyllaceae,Annual,Winter Annuals
plag ariz,Plagiobothrys,arizonicus,,Bloodweed,Boraginaceae,Annual,Winter Annuals
plan purs,Plantago,patagonica,(purshii),Woolly plantain,Plantaginaceae,Annual,Winter Annuals
poly twee,Polygala,tweedyi,,Shrubby milkwort,Polygalaceae,Perennial,Perennials
port parv,Portulaca,parvula,,Silkcotton Purslane,Portulacaceae,Annual,Summer Annuals
port sp,Portulaca,sp.,,Unknown,Portulacaceae,Annual,Summer Annuals
port suff,Portulaca,suffretescens,,Shrubby purslane,Portulacaceae,Perennial,Perennials
prob parv,Proboscidea,parviflora,,Devil's Claw,Martyniaceae,Annual,Summer Annuals
pros glan,Prosopis,glandulosa,,Honey Mesquite,Fabaceae,Perennial,Perennials
pros velu,Prosopis,velutina,,Velvet Mesquite,Fabaceae,Perennial,Perennials
pseu cane,Pseudognaphalium,canescens,,Wright's cudweed,Asteraceae,Annual,Winter and Summer Annuals
rume alti,Rumex,altissimus,,Smooth dock,Polygonaceae,Perennial,Perennials
rume angu,Rumex,crispus,(angustifolium),Curly dock,Polygonaceae,Perennial,Perennials
rume hyme,Rumex,hymenosepalus,,Desert dock,Polygonaceae,Perennial,Perennials
sals kali,Salsola,kali,,Russian Thistle,Chenopodiaceae,Annual,Summer Annuals
sanv aber,Sanvitalia,aberti,,Abert's Creeping Zinnia,Asteraceae,Annual,Summer Annuals
schi barb,Schismus,barbatus,,Mediterranean grass,Poaceae,Annual,Winter Annuals
seta macr,Setaria,macrostachya,,Bristle grass,Poaceae,Perennial,Perennials
sida phys,Sida,physocalyx,,Buffpetal,Malvaceae,Perennial,Perennials
sida proc,Sida,procumbens,,Spreading fanpetals,Malvaceae,Perennial,Perennials
sida sp,Sida,spp.,,Unknown,Malvaceae,Annual,Summer Annuals
sida spin,Sida,spinosa,,Prickly Fanpetals,Malvaceae,Annual,Summer Annuals
sisy irio,Sisymbrium,irio,,London rocket,Brassicaceae,Annual,Winter Annuals
sita hyst,Sitanion,hystrix,,Squirreltail,Poaceae,Perennial,Perennials
sola elea,Solanum,eleagnifolium,,Silverleaf nightshade,Solanaceae,Perennial,Perennials
sola rost,Solanum,rostratum,,Buffalobur Nightshade,Solanaceae,Annual,Summer Annuals
sper echi,Spermolepis,echinata,,Bristly scaleseed,Apiaceae,Annual,Winter Annuals
spha angu,Sphaeralcea,angustifolia,,Copper globemallow,Malvaceae,Perennial,Perennials
spha coul,Sphaeralcea,coulteri,,Coulter's globemallow,Malvaceae,Annual,Summer and Winter Annuals
spha inca,Sphaeralcea,incana,,Gray Globemallow,Malvaceae,Perennial,Perennials
spha laxa,Sphaeralcea,laxa,,Caliche globemallow,Malvaceae,Perennial,Perennials
spor cont,Sporobolus,contractus,,Spike dropseed,Poaceae,Perennial,Perennials
step exig,Stephanomeria,exigua,,Small wirelettuce,Asteraceae,Annual,Winter Annuals
tali angu,Phemeranthus (Talinum),angustissimum,,Orange fameflower,Portulacaceae,Perennial,Perennials
tali aura,Phemeranthus (Talinum),aurantiacus,(aurantiacum),Orange fameflower,Portulacaceae,Perennial,Perennials
tali sp,Phemeranthus (Talinum),sp.,,Orange flamethrower,Portulacaceae,Perennial,Perennials
tetr coul,Tetraclea,coulteri,,Coulter’s wrinkle fruit,Verbenaceae,Perennial,Perennials
tide lanu,Tidestromia,lanuginosa,,Woolly Tidestromia,Amaranthaceae,Annual,Summer Annuals
trag bert,Tragus,berteronianus,,Spiked Bur Grass,Poaceae,Annual,Summer Annuals
tria port,Trianthema,portulacastrum,,Desert Horsepurslane,Aizoaceae,Annual,Summer Annuals
tric cali,Trichachne,californica,,Arizona cottontop,Poaceae,Perennial,Perennials
trid pulc,Tridens,pulchellum,,Fluff grass,Poaceae,Perennial,Perennials
unkn,Unknown,plant,,Unknown,Unknowns,Unknown,Unknown
unkn forb,Unknown,forb,,Unknown,Unknowns,Unknown,Unknown
unkn forb2,Unknown,forb,distinct from unkn forb,Unknown,Unknowns,Unknown,Unknown
unkn gras,Unknown,grass,,Unknown,Poaceae,Unknown,Unknown
unkn gras2,Unknown,grass,distinct from unkn gras,Unknown,Poaceae,Unknown,Unknown
unkn must,Unknown,mustard,,Unknown,Brassicaceae,Annual,Winter Annuals
verb ence,Verbesina,encelioides,,Golden Crownbeard,Asteraceae,Annual,Summer Annuals
vulp octo,Vulpia,octoflora,,Sixweeks fescue,Poaceae,Annual,Winter Annuals
xant spin,Xanthisma,spinulosum,var. chihuahuanum,Chihuahua Tansyaster,Asteraceae,Perennial,Perennials
yucc elat,Yucca,elata,,Soaptree yucca,Agavaceae,Perennial,Perennials
zinn gran,Zinnia,grandiflora,,Wild zinnia,Asteraceae,Perennial,Perennials
zinn pumi,Zinnia,pumila,,Desert zinnia,Asteraceae,Perennial,Perennials
zinn sp,Zinnia,spp.,,Unknown zinnia,Asteraceae,Perennial,Perennials
